MICA,"Graphic design is one of the most powerful forms of communication. Design is commercial, social, public, and political. It shapes the meaning and impact of books, magazines, apps, websites, posters, advertisements, games, logos, film titles, and countless other media. Everywhere you look, designers are using words and images to penetrate people's hearts and minds. Our program shapes designers to think conceptually and apply technical skills in all forms of design practice. We see graphic design as a comprehensive activity of visual problem solving for professional leaders working in branding, UI/UX, packaging, spatial design, publication design, and typeface design, among others. Our graduates bring the ability to think and make critically and to thrive as professional designers.In MICA's Graphic Design major, you will gain the creative, technical, and intellectual skills to become the design visionary of the future while shaping the form and content of media — from magazines and books to websites and social media applications. The graphic design curriculum at MICA is built around a three-year sequence of core design courses. Required courses in typography, paired with comprehensive studios, help our students build expertise. Theory, technique and history are tied into every course. A broad palette of electives in specialized areas is offered, for students both inside and outside of the major.A senior degree project is required, in which students create an independent body of work that expresses their identities and interests. Pre-professional experiences are required for juniors and seniors—providing lessons on career development strategies. These courses draw from the expertise of leading design professionals across the east coast who advise students and support them in their professional development."
RISD,"The undergraduate program in Graphic Design allows students to fully absorb an informed design process that provides lifelong support as they go on to engage in real-world design opportunities. Students gain a thorough understanding of the principles of design, theories of communication and strategies for problem solving. Learning outcomes.The program educates students to become resourceful designers engaged in reflexive, responsible and sustainable practices. Graduates are prepared to:evaluate and critique the effectiveness of visual communication work respond to a communication need by determining an appropriate perspective and following through by form-making using various means: editing, aesthetics and/or appropriation develop and refine personal methods that culminate in a cohesive body of work targeting professional practice, an independent studio practice and/or entrepreneurship work with contemporary and historical tools and software Inspiring community Despite being one of the largest departments at RISD, Graphic Design offers approximately 165 undergraduate majors countless opportunities to collaborate within and beyond the discipline. MFA candidates in the department work in a separate facility but interact with undergraduates as TAs and informal mentors who appreciate all opportunities to engage in meaningful exchange about graphic communication. Learning environment Graphic Design majors work in dedicated studios in the Design Center, where they have access to a wide array of digital and traditional printing and photographic resources, as well as specialized facilities for bookbinding, papermaking and screenprinting. Faculty members assign challenging projects covering everything from designing books, magazines and posters to UX and websites, film graphics, identities, packaging and exhibits. Each year dozens of visiting designers and critics spend time at RISD complementing the talents of resident faculty and offering alternative design perspectives from around the world.The core curriculum in Graphic Design builds a range of analytical, formal, sensory and technical design experiences. Sophomores begin exploring visual principles of form, image, color and typography. Conceptual thinking in areas such as communication theory, visual systems and information design forms the focus of the junior year. During senior year, emphasis is placed on design applications, with a range of electives available to expose students to specific areas of graphic design practice. Juniors and seniors also have opportunities to pursue professional internships over the summer or during the semester.Graphic Design at RISD provides a comprehensive education that pushes on the boundaries of the discipline. Students learn how to communicate ideas visually, play with the tools of the field, frame points of view and messages, build community and embrace a fluid, networked culture. Faculty support these explorations and encourage ambitious ideas along with a mastery of traditional practices.In the studio students learn the fundamental value of typography, imagery, grids, systems and more in the course of creating everything from traditional books, posters, logos and websites to apps, interactive texts and other digital media. "
CMU,"Bachelor of Design The Bachelor of Design (BDes) degree is a four-year degree that offers three tracks for specialization: Products (industrial design), Communications (graphic design), and Environments (both physical and digital). Our curriculum emphasizes the importance of designing for interactions between people, the built world, and the natural world. (Learn more about our program framework.) Working in collaborative, dedicated studio spaces, students cultivate skills and learn design theories, methods, and processes that help develop and refine their ideas. They craft objects, communicate concepts, and develop complex systems that facilitate meaningful interactions. Customize your degree. Carnegie Mellon has one of the only undergraduate programs in design that enables students to customize their degree. You can choose to keep a fairly narrow focus in order to develop deep expertise, or take a broad approach that results in a more interdisciplinary concentration. The diagram below shows just two example pathways that students might chart through the curriculum. The first year of the program introduces students to all three design tracks: Communications (C), Products (P), and Environments (E). This year of study is intended to provide broad exposure, allowing students to gradually adjust their path as their interests become clearer and talents emerge. By the third semester, students begin to focus their attention on two preferred tracks. Starting in the spring of their Sophomore year, studio courses focus on a single track at a time. By choosing among these courses, students develop expertise in a single track, or expand their range of experience by choosing two of the three. In the final two semesters of study, students work in multi-disciplinary teams and apply disciplinary expertise to capstone projects in the areas of Design for Service (Sv) and/or Design for Social Innovation (Si). Again, they have the opportunity to work on projects in both areas, or focus on a single area to deepen their exploration. In the spring each year, the School of Design hosts Confluence, a career event attended by more than 70 top companies. Confluence helps our students land summer internships (particularly after the second and third years in the program), adding real world design experience to their growing list of credentials. Study abroad opportunities are also available to students during the junior year. Undergraduate Degrees Why design? At its heart, design is about solving problems. It’s no wonder businesses and institutions are embracing the value of design, and the demand for design professionals has never been greater. In our undergraduate programs, you will learn to design products (industrial design), communications (graphic design), and environments (both physical and digital). Our graduates go on to positions with leading companies, design firms, start-ups, and nonprofits. Some start their own businesses, while others become design researchers and educators. The career possibilities—and your potential to make a positive impact on the world—are limitless. What kind of designer do you want to be? Look around you. Almost everything you see was designed by someone. Products and communications are all around us, and they come together in both physical and digital spaces, or environments. Our undergraduate program offers three complementary tracks in Products, Communications, and Environments. You may choose to specialize in one of the three areas, or pursue a more interdisciplinary focus by combining two of the three. Whether you want to create the next iPad app, the next generation mobile device, a new social networking site, or even a line of sustainable furniture, the BDes degree has you covered. You will learn about the tools, culture, and practice of design. Most importantly, you will learn to see and think design. Customize your degree. As the demand for design increases, so does the range of design expertise. Some designers concentrate in a single area, while others choose to broaden their expertise. Designers frequently work collaboratively in transdisciplinary teams. Our program offers multiple undergraduate degree options, and allows you to customize your degree according to your goals and interests. Undergraduate design majors at Carnegie Mellon earn a Bachelor of Design degree (BDes). This degree is equivalent in rank to a BFA, but acknowledges the growing importance of the design disciplines as separate and distinct from Fine Art. You can customize your degree by choosing among studio courses in each of our three tracks (Products, Communications, and Environments). For students interested in a pursuing a broad liberal arts emphasis, we offer an Interdisciplinary Degree (BXA) and a Minor in Design. The BXA program provides students with the ability to evenly balance their study of humanities or sciences with design, while the design minor is for students admitted to other programs on campus who are interested in gaining fundamental design skills and exposure to design. CMU also offers a unique program called Integrative Design, Arts, and Technology (IDeATe), which allows student to concentrate their studies on cross-campus industry themes like game design, animation and special effects, innovation and entrepreneurship, intelligent environments, and learning media design."
VCU,"The Graphic Design Program offers a 122-credit Bachelor of Fine Arts degree in Graphic Design. After completing the Art Foundation Program, students take courses in Publication and Print Design, Sequential and Motion Design, and Interaction Design along with a series of related Studio and Seminar courses. The primary goal of the curriculum is to educate students to be capable of integrating form and information for the purposes of effective visual communication. The Department of Graphic Design encourages the exploration of diverse problem-solving methodologies, innovative investigations and creative research in all forms of communication. It is dedicated to excellence in teaching, scholarship, research and professional practice. The Department provides both an undergraduate and graduate education stressing critical creative and intellectual thinking; awareness of individual, social and cultural issues; the integration of a range of technologies; and a concern for ethical development. The program actively contributes to the school, university, local, state, national and international communities through its scholarly and creative activities, educational programs and service efforts. The sophomore year in the graphic design program is focused on orientation to, and experimentation within, design practice. Students develop processes of making, meaning-building and critical engagement with ideas related to form, medium, materials and tools. This year provides a critical framework to develop a vocabulary allowing them to begin to discuss ideas around information hierarchies and meaning-making as well as legibility and translation. The junior year is focused on experimentation with, and construction of, narrative structures, argument, advocacy and rhetoric (text, text and image, sequence). The underlying social, political and pluralistic demands of graphic design are emphasised. It situates the student and their work/practice within a context and community and introduces methods to facilitate collaboration with those directly and indirectly impacted by the end results of the design process The senior year is focused on deepening, refining and situating individuated experiences; formulatating and synthesizing learning by teaching others through participatory engagement; and building a situated design practice, while understanding that design is inseparable from the culture at large. The student experience in the program culminates in a capstone project that demonstrates their readiness and capacity to engage responsibly and creatively in the field, and is presented in a public exhibition."
ArtCenter,"At ArtCenter, Graphic Design students learn to infuse words and images with life and meaning—whether by creating motion graphics, an interface on the latest mobile device, setting type by hand in our letterpress shop or attending a workshop in our new typography center. Graphic Design has transcended its role as a commercial art practice to become an essential and universal tool for communicating the multi-dimensional experience of a place, product, service or personality in every imaginable context. Our students are challenged to develop design solutions to all of the above by experimenting with a wide range of media—including books and digital magazines, packaging, 3D motion graphics, apps—to create compelling graphic identities and branded experiences. The creative industry is demanding a new generation of graphic designers who can readily stretch their skills across a wide range of analog and digital media to create communication design that successfully cuts through the white noise of our convoluted visual environment. Our curriculum consists of multiple areas of emphasis that reflect the scope of professional opportunities: print and branding, packaging and environmental graphic design, motion and visual interaction design, transmedia, and spatial media. Transmedia Fluency is the term we use to describe our approach to teaching graphic design: a discipline that has transcended its role as commercial art practice to that of an essential and universal tool for communicating the multi-dimensional experience of a place, product, service or personality in every imaginable context. Our curriculum accommodates two different kinds of students and creative personalities: generalists, who want to produce work across the entire scope of communication design, and individuals who are passionate for a very specific media format. For both student types, our program offers a nourishing environment for creative discovery with effective student advisement tools, that help each individual to establish his or her own learning path. We facilitate such a self-curated curriculum through intensive mentorship readily accessible to students. Dedicated faculty directors curate, oversee and mentor each of our graphic design areas of emphasis. Immersed in such a culture, our highly motivated students expand the boundaries of graphic design, thriving in an exploration-centered environment that boldly envisions the future. Consequently, the graduates from our program are highly sought after by the most exciting and disruptive global brands like Uber, Tesla, Google, Facebook, Nike, and creative agencies like IDEO, R/GA, Local Projects and other future-forward organizations."
Pratt,"Our aim is for Communications Design students to become versatile and astute communicators; critical and conceptual thinkers; and engaged cultural producers. Housed inside the School of Design on Pratt’s historic campus in Brooklyn, the department of undergraduate communications design is a recognized leader in the field. Students learn to engage audiences, explore technologies, develop visual languages, challenge preconceptions, redefine problems, and identify opportunities through the lens of communication design. Our location allows students to participate and find inspiration in New York City’s dynamic visual culture and thriving creative industries. Our graduates leave equipped to pursue a spectrum of exciting career paths as creative professionals. Our alumni continue to distinguish themselves in design studios, cultural institutions, branding agencies, and independent enterprises making significant contributions to the fields of art and design, publishing, education, film, gaming, advertising, and many more. THE CURRICULUM The Communications Design curriculum embraces the multi-faceted and interdisciplinary nature of communication design practice. Our courses and projects promote the rich exchange embodied in a studio culture that values the development of individual perspectives, critique, visual literacy, media fluency, experiential learning, and innovative formal outcomes. Second-year coursework introduces fundamental theories, methodologies and skills central to communication design. Courses prompt students to define and explore a design process that engages research, historical and contemporary contexts, experimentation, audience, technology, and play in the construction of meaningful visual forms. Upper-level studio courses prompt students to engage in increasingly complex projects that introduce time-based media, visual systems, branding, and installations. Beginning in the third year, students develop an individual focus or set of interests inside the larger discipline through courses in their chosen area of emphasis: graphic design, illustration, or advertising art direction. Electives both inside the department and throughout the institute supplement the core curriculum allowing students to explore ways of thinking and making throughout the visual arts. The department hosts a weekly visiting artist and designer lecture series and invites guest critics to participate in open critiques taking full advantage of the wealth of talent that New York City has to offer. The program also supports international exchange and study abroad programs for students who are interested in expanding their learning experience abroad."
Parsons,"As a BFA Communication Design student, you begin your major with an intense focus on typography and interaction, then go on to complete courses, internships, and sponsored projects in editorial design, interaction design, branding, Web/mobile product design, type design, motion graphics, advertising design, and information design. A related program, the BFA in Art, Media, and Technology, is offered at the Parsons Paris campus. Explore the BFA Communication Design community to see what students, faculty, and alumni are doing in NYC and around the world at amt.parsons.edu. This program is part of Parsons' School of Art, Media, and Technology (AMT). Read More About the Program Read Less Comprehensive and Collaborative You learn techniques, methods, and theories that prepare you to play a variety of present-day design roles and future ones needed in this ever-expanding field. The work is framed with the social, technological, and economic realities of our time and emphasis is placed on individual agency and collective action. In hands-on, collaborative courses, you work directly with peers throughout the university — including students in programs housed at other schools within The New School — and with external partners. Electives on topics like environmental graphics, design for social engagement, business, and media studies enhance your learning. And art and design history and theory courses contextualize your work while developing your research, writing, and critical reasoning skills. Parsons’ resources, including labs, libraries, galleries, and research institutes, support your ideas and projects. Networked New York Some of the world’s most renowned designers are located in New York City. You have access to individuals, companies, and organizations leading the communication and media industries, including instructors, experts presenting work, hosts for internships, collaborators, and guest critics. Future Opportunities Graduates pursue careers in interaction design, publication design, branding, advertising, motion graphics, information visualization, exhibition/retail design, and environmental graphics."
SVA,"The Design program focuses on teaching visual communication problem solving, a skill that can open the door to a host of rewarding careers. Our program is a multidisciplinary educational system in itself, offering three separate majors that include Graphic Design, Motion Graphics and 3D Design. In addition to a distinguished faculty that includes eight Hall of Fame laureates, we offer a wide range of course options that are tailored to each student’s strengths and needs. We achieve this by offering more studio courses than any institution in the world. This gives students the opportunity to develop their own vision, making the entire educational experience particularly empowering. There are no cookie-cutter portfolios here. Of the three disciplines that students can major in, each of these areas can be further refined, giving students more possibilities to find their niche. For example, Graphic Design can be further subdivided into package design, editorial design, information graphics, corporate identity, publication design, CD packaging, book jacket design, environmental design, and website design. Here are some other features that set SVA’s Design Department apart from the crowd: The Senior Library: This annual compendium of the best student work has become the benchmark of creative problem solving since its inception. Each edition runs about 500 pages and is distributed to the visual-communications industry, and has garnered all the major industry awards. Needless to say, this helps students markedly in acquiring the job of their choice. Workshops: The department offers intensive one-week workshops taught by industry luminaries like Paula Scher, John C. Jay, Carin Goldberg and Cheryl Heller. Exhibitions: Unlike any other art school’s graphic design department, ours holds exhibitions at professional venues, including The One Club, Vanderbilt Hall at Grand Central Station, and The Whitney Museum of American Art, as well as an annual end-of-year exhibition at the Art Directors Club. These shows are widely attended and over the years have been covered by NBC, CBS, ABC, and CNN. Competitions: Our department encourages and often supports major design and advertising competitions that include: The Art Directors Club, The One Club, Society of Publication Designers, The Type Directors Club, Print, How, CA, Step, and ID design competitions, as well as the Graphis New Talent Annual. Each year our students garner more than half of the 500 entries, an unparalleled achievement in design education. Professional Organizations: In an effort to introduce them to the design communities, we enroll all our students into the AIGA (American Institute of Graphic Artists) and the Art Directors Club, two of the most prestigious design organizations in the country."
CalArts,"The Graphic Design Program emphasizes both practical and conceptual skills, and enables each designer to integrate a command of visual language with imagination, theory and technology. Students are trained in print and publication design; web and interface design; motion graphics for broadcast and film; branding, identity and type design; as well as for careers in design history and education. Classes in Graphic Design are small, intimate and critique-based, fostering debate and discussion as well as imparting formal and practical knowledge. All students work in residence in communal studios (grouped by year level) that are open 24 hours, and have access to Art School facilities and labs. Over the course of the Program, BFA Graphic Design students create a body of work that is not simply a string of assignments—but which is uniquely theirs—and prepares them to carve an independent path into graphic design practice with a compelling portfolio marked by strong ideas expressed through form. The BFA track is centered around core courses supported by a number of required and elective classes, allowing both structure and flexibility within the curriculum, covering all aspects of graphic design practice. Each year in residence builds on the experience of the previous as a sequence of additional classes explore image-making, typography and design history. Baseline coursework is followed by more specialized classes in areas such as web design, motion graphics and type design. In addition to core studio classes, all candidates in the Program are required to pass a Graduation Portfolio Review in order to complete the program and obtain the BFA degree. CalArts is committed to providing a broad program of general education designed to enable students to consider aesthetic questions within larger socio-cultural, ethical and political contexts."
CCA,"Ambitious and innovative design Mark Fox's 'identity' class poses with their 3 foot tall letters in the Nave Design at CCA is dedicated to conceptual exploration alongside practice-based problem solving. We teach students to become leaders in the field by emphasizing collaborative studio work, creative risk-taking, and elegant design solutions that engage with pressing social issues. Jennifer Sonderby, faculty and CCA Graphic Design alumn, takes Graphic Design students on VIP tour of SFMOMA Jennifer Sonderby (faculty and CCA Graphic Design alumnus) takes Graphic Design students on a VIP tour of San Francisco Museum of Modern Art. Draw inspiration from the Bay Area The classroom is where the work begins, not where it ends. The Bay Area, known for its legacy of craft and social justice, is one of the world’s most innovative technology and design hubs. Students have the opportunity to intern for design firms, nonprofits, and publishing houses as they work toward a polished thesis project. Situated within a top art college, the Graphic Design program also benefits from an atmosphere of hands-on making and experimentation. Students are constantly giving and getting feedback and testing their ideas with faculty, visiting experts, and peers. Studios + Shops Work across a broad range of media CCA student examines their book made in bookbinding and lithography class Our program is grounded in practical knowledge, critical thinking, and a passion for investigation. You’ll learn to balance observation and research with thinking and making as you work across a broad range of media. We consider the political and social impact of book arts, zines, and muralist traditions, while looking to the future of embedded technologies and systems thinking. The historical and contemporary contexts of graphic design will help you refine your voice and strengthen your design toolkit. View spaces for prototyping Student getting feedback from visiting faculty Brian Roettinger At the core of our curriculum are sequences of three graphic design and three typography courses. These courses teach the foundational concepts of craft and form, engage with exploration and process, and introduce information systems and brand identity. Students also have opportunities to take advanced studios in service design, packaging, type design, and more. View sample course descriptions CCA student using digital animation program to design work Learn to use industry-leading software We embrace new technologies and up-and-coming design applications. You’ll take a two-course sequence in Interactive Design, which teaches you to be creative and critical in the web browser using HTML, CSS, and JavaScript. Projects explore the potential of basic code, from typography to visual composition. We also partner with the college’s Education Technology Services to pilot a range of embedded technologies in our studio spaces."
